country,continent,year,lifeExp,pop,gdpPercap
Angola,Africa,2007.2302117522095,42.731,12420476,4797.231267
Argentina,Americas,1950.0966913555678,62.485,17876956,5911.315053
Argentina,Americas,1955.4023664870238,64.399,19610538,6856.856212
Argentina,Americas,1961.6189489376693,65.142,21283783,7133.166023
Argentina,Americas,1968.8323753963525,65.634,22934225,8052.953021
Argentina,Americas,1974.5616000037387,67.065,24779799,9443.038526
Argentina,Americas,1980.9592626431133,68.481,26983828,10079.02674
Argentina,Americas,1979.9889569972156,69.942,29341374,8997.897412
Argentina,Americas,1985.7474321597363,70.774,31620918,9139.671389
Argentina,Americas,1989.826144898574,71.868,33958947,9308.41871
Argentina,Americas,1997.9885017527279,73.275,36203463,10967.28195
Argentina,Americas,1997.8085120769713,74.34,38331121,8797.640716
Argentina,Americas,2004.0370096395561,75.32,40301927,12779.37964
Australia,Oceania,1947.6417416584995,69.12,8691212,10039.59564
Australia,Oceania,1953.1093978848971,70.33,9712569,10949.64959
Australia,Oceania,1962.4550810161857,70.93,10794968,12217.22686
Australia,Oceania,1967.8945108800203,71.1,11872264,14526.12465
Australia,Oceania,1973.6644365652405,71.93,13177000,16788.62948
Australia,Oceania,1977.4040825664913,73.49,14074100,18334.19751
Australia,Oceania,1986.8567783765866,74.74,15184200,19477.00928
Australia,Oceania,1985.5277242290024,76.32,16257249,21888.88903
Australia,Oceania,1990.054676742073,77.56,17481977,23424.76683
Australia,Oceania,2001.990330386696,78.83,18565243,26997.93657
Australia,Oceania,2006.7677072678707,80.37,19546792,30687.75473
Australia,Oceania,2004.190337920085,81.235,20434176,34435.36744
Austria,Europe,1954.7740446788318,66.8,6927772,6137.076492
Austria,Europe,1961.1681308141685,67.48,6965860,8842.59803
Austria,Europe,1961.7387929560048,69.54,7129864,10750.72111
Austria,Europe,1970.0970153377732,70.14,7376998,12834.6024
Austria,Europe,1969.836469524252,70.63,7544201,16661.6256
Austria,Europe,1981.30788101694,72.17,7568430,19749.4223
Austria,Europe,1986.2935322199141,73.18,7574613,21597.08362
Austria,Europe,1990.2150038940192,74.94,7578903,23687.82607
Austria,Europe,1996.550913409026,76.04,7914969,27042.01868
Austria,Europe,1997.1255033427012,77.51,8069876,29095.92066
Austria,Europe,2004.748663362455,78.98,8148312,32417.60769
Austria,Europe,2004.376023648433,79.829,8199783,36126.4927
Bahrain,Asia,1951.7958122601144,50.939,120447,9867.084765
Bahrain,Asia,1955.4045548016663,53.832,138655,11635.79945
Bahrain,Asia,1963.860628392991,56.923,171863,12753.27514
Bahrain,Asia,1963.01828635856,59.923,202182,14804.6727
Bahrain,Asia,1975.2109778271138,63.3,230800,18268.65839
Bahrain,Asia,1977.6095006273351,65.593,297410,19340.10196
Bahrain,Asia,1980.2631937564374,69.052,377967,19211.14731
Bahrain,Asia,1990.822215808465,70.75,454612,18524.02406
Bahrain,Asia,1989.5902652826899,72.601,529491,19035.57917
Bahrain,Asia,1995.6225701217554,73.925,598561,20292.01679
Bahrain,Asia,2001.522382604008,74.795,656397,23403.55927
Bahrain,Asia,2005.105023033464,75.635,708573,29796.04834
Bangladesh,Asia,1950.6371635931507,37.484,46886859,684.2441716
Bangladesh,Asia,1953.9221535939016,39.348,51365468,661.6374577
Bangladesh,Asia,1959.0973445023271,41.216,56839289,686.3415538
Bangladesh,Asia,1967.4930054226788,43.453,62821884,721.1860862
Bangladesh,Asia,1971.2423243234302,45.252,70759295,630.2336265
Bangladesh,Asia,1976.8905009024927,46.923,80428306,659.8772322
Bangladesh,Asia,1980.8396873040308,50.009,93074406,676.9818656
Bangladesh,Asia,1982.2760217793425,52.819,103764241,751.9794035
Bangladesh,Asia,1988.905954684553,56.018,113704579,837.8101643
Bangladesh,Asia,2000.0184139011985,59.412,123315288,972.7700352
Bangladesh,Asia,1997.5950354918377,62.013,135656790,1136.39043
Bangladesh,Asia,2006.3521201929875,64.062,150448339,1391.253792
Belgium,Europe,1951.385610345735,68.0,8730405,8343.105127
Belgium,Europe,1953.8416212093591,69.24,8989111,9714.960623
Belgium,Europe,1962.3513169980492,70.25,9218400,10991.20676
Belgium,Europe,1967.9562368636698,70.94,9556500,13149.04119
Belgium,Europe,1973.2417419847513,71.44,9709100,16672.14356
Belgium,Europe,1977.699547546515,72.8,9821800,19117.97448
Belgium,Europe,1978.5698104892986,73.93,9856303,20979.84589
Belgium,Europe,1983.493890705771,75.35,9870200,22525.56308
Belgium,Europe,1996.3491008019853,76.46,10045622,25575.57069
Belgium,Europe,2000.460390546246,77.53,10199787,27561.19663
Belgium,Europe,2005.2332741548785,78.32,10311970,30485.88375
Belgium,Europe,2004.8530036773768,79.441,10392226,33692.60508
Benin,Africa,1954.8940734279224,38.223,1738315,1062.7522
Benin,Africa,1960.923173031184,40.358,1925173,959.6010805
Benin,Africa,1965.5129807900173,42.618,2151895,949.4990641
Benin,Africa,1965.8551006356977,44.885,2427334,1035.831411
Benin,Africa,1974.8801278001165,47.014,2761407,1085.796879
Benin,Africa,1980.724175613908,49.19,3168267,1029.161251
Benin,Africa,1983.7022032024315,50.904,3641603,1277.897616
Benin,Africa,1990.3869567004913,52.337,4243788,1225.85601
Benin,Africa,1994.5935757642112,53.919,4981671,1191.207681
Benin,Africa,2000.875165575803,54.777,6066080,1232.975292
Benin,Africa,2001.0951603784574,54.406,7026113,1372.877931
Benin,Africa,2010.3738033631557,56.728,8078314,1441.284873
Bolivia,Americas,1952.348008184182,40.414,2883315,2677.326347
Bolivia,Americas,1956.1522532731167,41.89,3211738,2127.686326
Bolivia,Americas,1965.667905904921,43.428,3593918,2180.972546
Bolivia,Americas,1971.3471285803316,45.032,4040665,2586.886053
Bolivia,Americas,1971.780197388777,46.714,4565872,2980.331339
Bolivia,Americas,1977.1047162442246,50.023,5079716,3548.097832
Bolivia,Americas,1980.3016838938204,53.859,5642224,3156.510452
Bolivia,Americas,1988.9495373943826,57.251,6156369,2753.69149
Bolivia,Americas,1996.336245012269,59.957,6893451,2961.699694
Bolivia,Americas,1996.5057938051523,62.05,7693188,3326.143191
Bolivia,Americas,2000.787191060068,63.883,8445134,3413.26269
Bolivia,Americas,2009.9667076242674,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,1951.9813907861067,53.82,2791000,973.5331948
Bosnia and Herzegovina,Europe,1952.5347047830958,58.45,3076000,1353.989176
Bosnia and Herzegovina,Europe,1965.2631084506206,61.93,3349000,1709.683679
Bosnia and Herzegovina,Europe,1963.9887792407958,64.79,3585000,2172.352423
Bosnia and Herzegovina,Europe,1972.0351357922655,67.45,3819000,2860.16975
Bosnia and Herzegovina,Europe,1979.364067692257,69.86,4086000,3528.481305
Bosnia and Herzegovina,Europe,1984.2099182113793,70.69,4172693,4126.613157
Bosnia and Herzegovina,Europe,1985.053766103449,71.14,4338977,4314.114757
Bosnia and Herzegovina,Europe,1996.2422459776003,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,2000.1547054093546,73.244,3607000,4766.355904
Bosnia and Herzegovina,Europe,2000.0700490112922,74.09,4165416,6018.975239
Bosnia and Herzegovina,Europe,2006.4418621329644,74.852,4552198,7446.298803
Botswana,Africa,1955.703367362063,47.622,442308,851.2411407
Botswana,Africa,1959.8322737196672,49.618,474639,918.2325349
Botswana,Africa,1963.6731645158643,51.52,512764,983.6539764
Botswana,Africa,1968.227878935716,53.298,553541,1214.709294
Botswana,Africa,1972.0745553232694,56.024,619351,2263.611114
Botswana,Africa,1977.635500395918,59.319,781472,3214.857818
Botswana,Africa,1980.4337059486793,61.484,970347,4551.14215
Botswana,Africa,1988.5870756515455,63.622,1151184,6205.88385
Botswana,Africa,1988.7743303108728,62.745,1342614,7954.111645
Botswana,Africa,2001.3129617943744,52.556,1536536,8647.142313
Botswana,Africa,2000.108560994167,46.634,1630347,11003.60508
Botswana,Africa,2008.038807844715,50.728,1639131,12569.85177
Brazil,Americas,1953.9984737681134,50.917,56602560,2108.944355
Brazil,Americas,1954.6375910538309,53.285,65551171,2487.365989
Brazil,Americas,1965.6220473999306,55.665,76039390,3336.585802
Brazil,Americas,1965.243283077956,57.632,88049823,3429.864357
Brazil,Americas,1970.5696764246866,59.504,100840058,4985.711467
Brazil,Americas,1976.4840800666634,61.489,114313951,6660.118654
Brazil,Americas,1979.8433622786808,63.336,128962939,7030.835878
Brazil,Americas,1983.614213978011,65.205,142938076,7807.095818
Brazil,Americas,1994.0202479757147,67.057,155975974,6950.283021
Brazil,Americas,1994.0251925672533,69.388,168546719,7957.980824
Brazil,Americas,2004.857173822336,71.006,179914212,8131.212843
Brazil,Americas,2007.750028072415,72.39,190010647,9065.800825
Bulgaria,Europe,1956.6051469764368,59.6,7274900,2444.286648
Bulgaria,Europe,1955.853834369585,66.61,7651254,3008.670727
Bulgaria,Europe,1961.2515537956192,69.51,8012946,4254.337839
Bulgaria,Europe,1966.4134338654471,70.42,8310226,5577.0028
Bulgaria,Europe,1967.2303055124153,70.9,8576200,6597.494398
Bulgaria,Europe,1978.2227710763339,70.81,8797022,7612.240438
Bulgaria,Europe,1978.0895489451755,71.08,8892098,8224.191647
Bulgaria,Europe,1983.1258300356355,71.34,8971958,8239.854824
Bulgaria,Europe,1995.5866380382597,71.19,8658506,6302.623438
Bulgaria,Europe,1993.3908170845634,70.32,8066057,5970.38876
Bulgaria,Europe,2005.9894841104947,72.14,7661799,7696.777725
Bulgaria,Europe,2004.0210762958354,73.005,7322858,10680.79282
Burkina Faso,Africa,1948.341887247151,31.975,4469979,543.2552413
Burkina Faso,Africa,1960.4231929432017,34.906,4713416,617.1834648
Burkina Faso,Africa,1963.898489080172,37.814,4919632,722.5120206
Burkina Faso,Africa,1966.3186712937993,40.697,5127935,794.8265597
Burkina Faso,Africa,1967.2651285889715,43.591,5433886,854.7359763
Burkina Faso,Africa,1974.6214858631365,46.137,5889574,743.3870368
Burkina Faso,Africa,1979.8664747698485,48.122,6634596,807.1985855
Burkina Faso,Africa,1986.7169104735547,49.557,7586551,912.0631417
Burkina Faso,Africa,1992.2243729680847,50.26,8878303,931.7527731
Burkina Faso,Africa,1997.7948926567753,50.324,10352843,946.2949618
Burkina Faso,Africa,2000.7869469841407,50.65,12251209,1037.645221
Burkina Faso,Africa,2011.9019308771685,52.295,14326203,1217.032994
Burundi,Africa,1948.985292220079,39.031,2445618,339.2964587
Burundi,Africa,1960.0272232914936,40.533,2667518,379.5646281
Burundi,Africa,1965.9126509153673,42.045,2961915,355.2032273
Burundi,Africa,1963.314566956742,43.548,3330989,412.9775136
Burundi,Africa,1970.1705304613404,44.057,3529983,464.0995039
Burundi,Africa,1977.3424797392893,45.91,3834415,556.1032651
Burundi,Africa,1981.6862685124572,47.471,4580410,559.603231
Burundi,Africa,1989.44681601416,48.211,5126023,621.8188189
Burundi,Africa,1993.3792482085862,44.736,5809236,631.6998778
Burundi,Africa,1992.4912135088132,45.326,6121610,463.1151478
Burundi,Africa,2003.7518491025487,47.36,7021078,446.4035126
Burundi,Africa,2010.4113127269566,49.58,8390505,430.0706916
Cambodia,Asia,1956.0344786015364,39.417,4693836,368.4692856
Cambodia,Asia,1957.4074120637904,41.366,5322536,434.0383364
Cambodia,Asia,1959.1615523344014,43.415,6083619,496.9136476
Cambodia,Asia,1967.9664482409066,45.415,6960067,523.4323142
Cambodia,Asia,1973.4359652310225,40.317,7450606,421.6240257
Cambodia,Asia,1973.8158888947794,31.22,6978607,524.9721832
Cambodia,Asia,1978.0825063819518,50.957,7272485,624.4754784
Cambodia,Asia,1982.8911363395289,53.914,8371791,683.8955732
Cambodia,Asia,1989.7490093242707,55.803,10150094,682.3031755
Cambodia,Asia,1992.9257437725644,56.534,11782962,734.28517
Cambodia,Asia,2003.4611720976875,56.752,12926707,896.2260153
Cambodia,Asia,2007.4630865238596,59.723,14131858,1713.778686
Cameroon,Africa,1951.8401284821455,38.523,5009067,1172.667655
Cameroon,Africa,1956.7710499319885,40.428,5359923,1313.048099
Cameroon,Africa,1957.0567965390526,42.643,5793633,1399.607441
Cameroon,Africa,1971.5321491254876,44.799,6335506,1508.453148
Cameroon,Africa,1976.1743905272253,47.049,7021028,1684.146528
Cameroon,Africa,1977.352827589876,49.355,7959865,1783.432873
Cameroon,Africa,1983.7216055747292,52.961,9250831,2367.983282
Cameroon,Africa,1986.4610923400598,54.985,10780667,2602.664206
Cameroon,Africa,1995.7139405608675,54.314,12467171,1793.163278
Cameroon,Africa,1992.6784656714065,52.199,14195809,1694.337469
Cameroon,Africa,2001.5266785992292,49.856,15929988,1934.011449
Cameroon,Africa,2010.7643351690797,50.43,17696293,2042.09524
Canada,Americas,1948.729425135499,68.75,14785584,11367.16112
Canada,Americas,1959.6260268859442,69.96,17010154,12489.95006
Canada,Americas,1963.0265290433042,71.3,18985849,13462.48555
Canada,Americas,1966.0056088528183,72.13,20819767,16076.58803
Canada,Americas,1967.3267054822227,72.88,22284500,18970.57086
Canada,Americas,1979.355359220499,74.21,23796400,22090.88306
Canada,Americas,1981.939811536634,75.76,25201900,22898.79214
Canada,Americas,1989.4751642907972,76.86,26549700,26626.51503
Canada,Americas,1989.2888504977288,77.95,28523502,26342.88426
Canada,Americas,1999.2653836793115,78.61,30305843,28954.92589
Canada,Americas,2001.9496490367612,79.77,31902268,33328.96507
Canada,Americas,2007.050891670191,80.653,33390141,36319.23501
Central African Republic,Africa,1952.2008571871525,35.463,1291695,1071.310713
Central African Republic,Africa,1957.2775678969658,37.464,1392284,1190.844328
Central African Republic,Africa,1962.798312867531,39.475,1523478,1193.068753
Central African Republic,Africa,1966.687075650034,41.478,1733638,1136.056615
Central African Republic,Africa,1972.18919389776,43.457,1927260,1070.013275
Central African Republic,Africa,1972.1892920916257,46.775,2167533,1109.374338
Central African Republic,Africa,1978.888296152513,48.295,2476971,956.7529907
Central African Republic,Africa,1984.398004329389,50.485,2840009,844.8763504
Central African Republic,Africa,1994.109108756005,49.396,3265124,747.9055252
Central African Republic,Africa,1995.5335831584525,46.066,3696513,740.5063317
Central African Republic,Africa,2001.9750488256798,43.308,4048013,738.6906068
Central African Republic,Africa,2007.306792279323,44.741,4369038,706.016537
Chad,Africa,1955.396950846619,38.092,2682462,1178.665927
Chad,Africa,1954.305978309118,39.881,2894855,1308.495577
Chad,Africa,1958.3777467619948,41.716,3150417,1389.817618
Chad,Africa,1970.700392981849,43.601,3495967,1196.810565
Chad,Africa,1974.1604667497047,45.569,3899068,1104.103987
Chad,Africa,1975.6401461073117,47.383,4388260,1133.98495
Chad,Africa,1984.9176605653731,49.517,4875118,797.9081006
Chad,Africa,1983.4007942140247,51.051,5498955,952.386129
Chad,Africa,1990.0237481933602,51.724,6429417,1058.0643
Chad,Africa,1998.8983118295212,51.573,7562011,1004.961353
Chad,Africa,2004.8695084997617,50.525,8835739,1156.18186
Chad,Africa,2011.4415438191627,50.651,10238807,1704.063724
Chile,Americas,1948.3002979061646,54.745,6377619,3939.978789
Chile,Americas,1960.4979188599575,56.074,7048426,4315.622723
Chile,Americas,1961.5208227997166,57.924,7961258,4519.094331
Chile,Americas,1969.9907450813182,60.523,8858908,5106.654313
Chile,Americas,1971.8369672849442,63.441,9717524,5494.024437
Chile,Americas,1978.913505155902,67.052,10599793,4756.763836
Chile,Americas,1977.51332844463,70.565,11487112,5095.665738
Chile,Americas,1982.5801609843238,72.492,12463354,5547.063754
Chile,Americas,1988.8710641111666,74.126,13572994,7596.125964
Chile,Americas,1998.0773509621624,75.816,14599929,10118.05318
Chile,Americas,2003.8528818765567,77.86,15497046,10778.78385
Chile,Americas,2007.3741868576255,78.553,16284741,13171.63885
China,Asia,1947.552110398285,44.0,556263527,400.448611
China,Asia,1958.9946739578852,50.54896,637408000,575.9870009
China,Asia,1963.3867763771482,44.50136,665770000,487.6740183
China,Asia,1968.554241472389,58.38112,754550000,612.7056934
China,Asia,1972.223144437557,63.11888,862030000,676.9000921
China,Asia,1972.5390223503123,63.96736,943455000,741.2374699
China,Asia,1984.916592013949,65.525,1000281000,962.4213805
China,Asia,1988.135223401819,67.274,1084035000,1378.904018
China,Asia,1989.5126308195734,68.69,1164970000,1655.784158
China,Asia,2000.865203645095,70.426,1230075000,2289.234136
China,Asia,2004.7878647786247,72.028,1280400000,3119.280896
China,Asia,2009.5017263637021,72.961,1318683096,4959.114854
Colombia,Americas,1949.0665456334127,50.643,12350771,2144.115096
Colombia,Americas,1961.0081311212305,55.118,14485993,2323.805581
Colombia,Americas,1958.7521002063236,57.863,17009885,2492.351109
Colombia,Americas,1968.887271361954,59.963,19764027,2678.729839
Colombia,Americas,1972.994041553917,61.623,22542890,3264.660041
Colombia,Americas,1977.7763931368838,63.837,25094412,3815.80787
Colombia,Americas,1984.2556864603891,66.653,27764644,4397.575659
Colombia,Americas,1985.6239764938075,67.768,30964245,4903.2191
Colombia,Americas,1994.153396764131,68.421,34202721,5444.648617
Colombia,Americas,1995.9539476166856,70.313,37657830,6117.361746
Colombia,Americas,1999.9089999203884,71.682,41008227,5755.259962
Colombia,Americas,2007.866806306575,72.889,44227550,7006.580419
Comoros,Africa,1949.8773600500163,40.715,153936,1102.990936
Comoros,Africa,1961.0859601485165,42.46,170928,1211.148548
Comoros,Africa,1963.370858594128,44.467,191689,1406.648278
Comoros,Africa,1965.8233244970233,46.472,217378,1876.029643
Comoros,Africa,1973.662188099333,48.944,250027,1937.577675
Comoros,Africa,1980.6121313192477,50.939,304739,1172.603047
Comoros,Africa,1980.2929316420243,52.933,348643,1267.100083
Comoros,Africa,1983.8005402340818,54.926,395114,1315.980812
Comoros,Africa,1990.9168188985823,57.939,454429,1246.90737
Comoros,Africa,1997.2863934028846,60.66,527982,1173.618235
Comoros,Africa,2005.63573878131,62.974,614382,1075.811558
Comoros,Africa,2003.1024714181399,65.152,710960,986.1478792
"Congo, Dem. Rep.",Africa,1948.891794360656,39.143,14100005,780.5423257
"Congo, Dem. Rep.",Africa,1959.8375145818686,40.652,15577932,905.8602303
"Congo, Dem. Rep.",Africa,1958.8434529242504,42.122,17486434,896.3146335
"Congo, Dem. Rep.",Africa,1965.1687552883288,44.056,19941073,861.5932424
"Congo, Dem. Rep.",Africa,1971.2004024436153,45.989,23007669,904.8960685
"Congo, Dem. Rep.",Africa,1975.9188192740387,47.804,26480870,795.757282
"Congo, Dem. Rep.",Africa,1980.2585811746271,47.784,30646495,673.7478181
"Congo, Dem. Rep.",Africa,1982.5630990787179,47.412,35481645,672.774812
"Congo, Dem. Rep.",Africa,1991.2231280142005,45.548,41672143,457.7191807
"Congo, Dem. Rep.",Africa,2000.0098362910817,42.587,47798986,312.188423
"Congo, Dem. Rep.",Africa,2001.0606317474758,44.966,55379852,241.1658765
"Congo, Dem. Rep.",Africa,2004.974930835428,46.462,64606759,277.5518587
"Congo, Rep.",Africa,1954.336352481203,42.111,854885,2125.621418
"Congo, Rep.",Africa,1959.1862735460952,45.053,940458,2315.056572
"Congo, Rep.",Africa,1958.3692690606945,48.435,1047924,2464.783157
"Congo, Rep.",Africa,1963.4071183546557,52.04,1179760,2677.939642
"Congo, Rep.",Africa,1970.1052649173353,54.907,1340458,3213.152683
"Congo, Rep.",Africa,1972.448598106062,55.625,1536769,3259.178978
"Congo, Rep.",Africa,1980.0338519031818,56.695,1774735,4879.507522
"Congo, Rep.",Africa,1987.3888917253303,57.47,2064095,4201.194937
"Congo, Rep.",Africa,1992.221048649336,56.433,2409073,4016.239529
"Congo, Rep.",Africa,1995.4333907700122,52.962,2800947,3484.164376
"Congo, Rep.",Africa,1997.4432579332372,52.97,3328795,3484.06197
"Congo, Rep.",Africa,2004.8872996192974,55.322,3800610,3632.557798
Costa Rica,Americas,1949.646700067435,57.206,926317,2627.009471
Costa Rica,Americas,1959.1280019322414,60.026,1112300,2990.010802
Costa Rica,Americas,1960.4198513355848,62.842,1345187,3460.937025
Costa Rica,Americas,1968.2557579083082,65.424,1588717,4161.727834
Costa Rica,Americas,1968.4725428789966,67.849,1834796,5118.146939
Costa Rica,Americas,1978.6160801565404,70.75,2108457,5926.876967
Costa Rica,Americas,1981.8686026966961,73.45,2424367,5262.734751
Costa Rica,Americas,1990.6006351087653,74.752,2799811,5629.915318
Costa Rica,Americas,1995.9265261643181,75.713,3173216,6160.416317
Costa Rica,Americas,1997.3575850113668,77.26,3518107,6677.045314
Costa Rica,Americas,2002.7310649119147,78.123,3834934,7723.447195
Costa Rica,Americas,2003.929249943086,78.782,4133884,9645.06142
Cote d'Ivoire,Africa,1949.1823481896581,40.477,2977019,1388.594732
Cote d'Ivoire,Africa,1952.0287447659039,42.469,3300000,1500.895925
Cote d'Ivoire,Africa,1962.676083169293,44.93,3832408,1728.869428
Cote d'Ivoire,Africa,1962.901013007288,47.35,4744870,2052.050473
Cote d'Ivoire,Africa,1972.554983080571,49.801,6071696,2378.201111
Cote d'Ivoire,Africa,1976.0970345713383,52.374,7459574,2517.736547
Cote d'Ivoire,Africa,1983.0539935946829,53.983,9025951,2602.710169
Cote d'Ivoire,Africa,1982.6174552837363,54.655,10761098,2156.956069
Cote d'Ivoire,Africa,1990.08127656234,52.044,12772596,1648.073791
Cote d'Ivoire,Africa,1998.678041843518,47.991,14625967,1786.265407
Cote d'Ivoire,Africa,2004.6274266901594,46.832,16252726,1648.800823
Cote d'Ivoire,Africa,2007.7397156286252,48.328,18013409,1544.750112
Croatia,Europe,1956.4027026278493,61.21,3882229,3119.23652
Croatia,Europe,1953.1093543605534,64.77,3991242,4338.231617
Croatia,Europe,1959.458718351469,67.13,4076557,5477.890018
Croatia,Europe,1971.3768082693373,68.5,4174366,6960.297861
Croatia,Europe,1970.3565502620645,69.61,4225310,9164.090127
Croatia,Europe,1978.5381613141594,70.64,4318673,11305.38517
Croatia,Europe,1984.798060916626,70.46,4413368,13221.82184
Croatia,Europe,1986.577033602438,71.52,4484310,13822.58394
Croatia,Europe,1988.4667053266176,72.527,4494013,8447.794873
Croatia,Europe,1997.3320144519246,73.68,4444595,9875.604515
Croatia,Europe,2005.0529083033036,74.876,4481020,11628.38895
Croatia,Europe,2007.395218537829,75.748,4493312,14619.22272
Cuba,Americas,1951.3482359298484,59.421,6007797,5586.53878
Cuba,Americas,1952.0884036678608,62.325,6640752,6092.174359
Cuba,Americas,1963.8001739303206,65.246,7254373,5180.75591
Cuba,Americas,1971.1979409887085,68.29,8139332,5690.268015
Cuba,Americas,1969.3436900207626,70.723,8831348,5305.445256
Cuba,Americas,1977.976426998031,72.649,9537988,6380.494966
Cuba,Americas,1984.5682580305674,73.717,9789224,7316.918107
Cuba,Americas,1989.895826231103,74.174,10239839,7532.924763
Cuba,Americas,1996.6125124741507,74.414,10723260,5592.843963
Cuba,Americas,1995.4862289217795,76.151,10983007,5431.990415
Cuba,Americas,2006.526951380285,77.158,11226999,6340.646683
Cuba,Americas,2011.9814839198896,78.273,11416987,8948.102923
Czech Republic,Europe,1955.7640033110767,66.87,9125183,6876.14025
Czech Republic,Europe,1959.4403075189691,69.03,9513758,8256.343918
Czech Republic,Europe,1965.0206118713188,69.9,9620282,10136.86713
Czech Republic,Europe,1970.4218105781342,70.38,9835109,11399.44489
Czech Republic,Europe,1967.7838448750929,70.29,9862158,13108.4536
Czech Republic,Europe,1976.7909293227103,70.71,10161915,14800.16062
Czech Republic,Europe,1978.1424026470909,70.96,10303704,15377.22855
Czech Republic,Europe,1989.4707536034643,71.58,10311597,16310.4434
Czech Republic,Europe,1988.1172003341792,72.4,10315702,14297.02122
Czech Republic,Europe,1998.3641154536158,74.01,10300707,16048.51424
Czech Republic,Europe,2003.5367936161265,75.51,10256295,17596.21022
Czech Republic,Europe,2009.1765198711971,76.486,10228744,22833.30851
Denmark,Europe,1949.1530073045785,70.78,4334000,9692.385245
Denmark,Europe,1955.2676060666906,71.81,4487831,11099.65935
Denmark,Europe,1960.6427385685893,72.35,4646899,13583.31351
Denmark,Europe,1966.8366193897805,72.96,4838800,15937.21123
Denmark,Europe,1969.8746030353536,73.47,4991596,18866.20721
Denmark,Europe,1975.454879381621,74.69,5088419,20422.9015
Denmark,Europe,1982.5942785509624,74.63,5117810,21688.04048
Denmark,Europe,1984.5203409139217,74.8,5127024,25116.17581
Denmark,Europe,1994.8328674483628,75.33,5171393,26406.73985
Denmark,Europe,2000.2852948364732,76.11,5283663,29804.34567
Denmark,Europe,2001.2510003437035,77.18,5374693,32166.50006
Denmark,Europe,2002.9388513267156,78.332,5468120,35278.41874
Djibouti,Africa,1947.1963772105291,34.812,63149,2669.529475
Djibouti,Africa,1960.2485497141347,37.328,71851,2864.969076
Djibouti,Africa,1961.943786672275,39.693,89898,3020.989263
Djibouti,Africa,1966.38427553164,42.074,127617,3020.050513
Djibouti,Africa,1975.204659425452,44.366,178848,3694.212352
Djibouti,Africa,1977.025352642256,46.519,228694,3081.761022
